-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.028,  0.148
-183.800, 80.198, 0.027,  0.181
-183.800, 80.197, 0.028,  0.214
-183.800, 80.196, 0.034,  0.247
-183.799, 80.192, 0.128,  0.280
-183.798, 80.184, 0.260,  0.313
-183.797, 80.174, 0.257,  0.346
-183.796, 80.164, 0.314,  0.379
-183.794, 80.152, 0.351,  0.412
-183.792, 80.140, 0.414,  0.445
-183.790, 80.123, 0.493,  0.478
-183.788, 80.106, 0.533,  0.511
-183.785, 80.086, 0.627,  0.544
-183.782, 80.064, 0.683,  0.577
-183.779, 80.041, 0.703,  0.610
-183.776, 80.017, 0.719,  0.643
-183.772, 79.993, 0.738,  0.676
-183.769, 79.968, 0.789,  0.709
-183.765, 79.941, 0.832,  0.742
-183.761, 79.913, 0.858,  0.775
-183.757, 79.884, 0.897,  0.808
-183.753, 79.854, 0.930,  0.841
-183.748, 79.823, 0.953,  0.874
-183.744, 79.791, 0.951,  0.907
-183.739, 79.760, 0.948,  0.940
-183.734, 79.729, 0.951,  0.973
-183.729, 79.698, 0.960,  1.006
-183.724, 79.666, 0.975,  1.039
-183.719, 79.633, 0.991,  1.072
-183.714, 79.600, 1.007,  1.105
-183.708, 79.566, 1.023,  1.138
-183.702, 79.532, 1.038,  1.171
-183.697, 79.497, 1.053,  1.204
-183.691, 79.462, 1.067,  1.237
-183.685, 79.427, 1.081,  1.270
-183.678, 79.391, 1.094,  1.303
-183.672, 79.354, 1.106,  1.336
-183.666, 79.318, 1.117,  1.369
-183.659, 79.281, 1.128,  1.402
-183.652, 79.243, 1.138,  1.435
-183.645, 79.206, 1.147,  1.468
-183.638, 79.168, 1.156,  1.501
-183.631, 79.129, 1.165,  1.534
-183.624, 79.091, 1.173,  1.567
-183.617, 79.052, 1.181,  1.600
-183.609, 79.013, 1.189,  1.633
-183.602, 78.974, 1.196,  1.666
-183.594, 78.934, 1.203,  1.699
-183.586, 78.895, 1.210,  1.732
